Name,Cidade,Propriedade,Capacidade,Obs.,Longitude,Latitude
Estádio José Gomes da Costa,Murici,Particular,3.000 Pessoas,Atende ao Murici Futebol Clube,-35.944122,-9.312147
Estádio Olival Elias de Moraes,Boca da Mata,Particular,2.500 pessoas,,-36.210950,-9.643294
Estádio Edson Matias,Olho D'Agua das Flores,Particular,3.000 Pessoas,,-37.293899,-9.530301
Estádio Alfredo Leahy,Penedo,Municipal,2.000 pessoas.,,-36.571285,-10.285275
Estádio Adalberto Cavalcante,Porto Real do Colégio,,2.000 Pessoas,"Também conhecido como""a toca do jacaré""",-36.832239,-10.188196
Estádio Governador Arnon de Mello,Santana de Ipanema,Ipanema Atlético Clube,3.000 pessoas,,-37.250310,-9.364155
Estádio Municipal Rubens Canuto,Pilar,Municipal,2.000 Pessoas,,-35.961292,-9.612136
Estádio Municipal Teotônio Vilela,Viçosa,Municipal,10 mil pessoas,Inaugurado em 12 de novembro de 1986.,-36.234758,-9.375464
Estádio Municipal Manoel Moreira,Capela,Municipal,5 Mil pessoas,foi inaugurado em 4 de abril de 1946.,-36.081634,-9.409689
Estádio Orlando Gomes,União dos Palmares,Municipal,4 mil pessoas.,"Atende ao Zumbi Esporte Clube, também conhecido como “Praxedão”",-36.024042,-9.156926
Estádio Municipal Gerson Amaral,Coruripe,Municipal,7.000 pessoas,,-36.181120,-10.117945
Estádio Municipal Juca Sampaio,Palmeira dos Índios,,8.000 pessoas,Atende ao Centro Social Esportivo,-36.635317,-9.413206
Estádio Municipal Luis de Albuquerque Pontes,Atalaia,Municipal,4000 pessoas.,,-36.024288,-9.504851
Estádio Edivanil Cavalcante Navarro,Matriz de Camaragibe,Municipal,1.500 pessoas,,-35.533148,-9.155256
Estádio Municipal Eduardo de Melo Gonçalves,São Luís do Quitunde,Municipal,1.500 Pessoas,,-35.560522,-9.314812
Estádio Municipal Manoel Ferreira de Amorim,São Miguel dos Campos,Municipal,5.000 pessoas,Conhecido como Ferreirão,-36.099503,-9.792850
Estádio Cleto Marques Luz,Maceió,Municipal,4.000 pessoas,,-35.754003,-9.569640
Estádio Nelson Peixoto Feijó,Maceió,Particular,4.000 pessoas,,-35.749912,-9.554326
Estádio Coaracy da Mata Fonseca,Arapiraca,Municipal,12.500 pessoas,Também chamado de Fumeirão ou Municipal Arapiraca,-36.666797,-9.747539
Estádio Rei Pelé (Maceió),Maceió,Estadual,"18.801 pessoas, de acordo com o CNEF editado pela CBF em 13 de janeiro de 2012.",Vulgarmente chamado de Trapichão. Foi inaugurado no dia 25 de outubro de 1970,-35.759360,-9.671165
Estádio Gustavo Paiva,Maceió,Centro Sportivo Alagoano (CSA),4 Mil pessoas,"Também conhecido como Estádio do Mutange, é um centro de treinamento de futebol",-35.747762,-9.637734
